"","CONTEXT","OBJECTID","COUNT","CEW","DEC","WARE","UNIT","LEVEL","FEATURE"
"1","02-01-050","1307-02-01-050-DRS--00012",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"2","02-07-153","1307-02-07-153-DRS--00005",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"3","02-02-048","1307-02-02-048-DRS--00040",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"4","02-06-152","1307-02-06-152-DRS--00007",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"5","02-02-048","1307-02-02-048-DRS--00041",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"6","02-04-113","1307-02-04-113-DRS--00147",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"7","02-02-048","1307-02-02-048-DRS--00144",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"8","02-01-031","1307-02-01-031-DRS--00001",1,"Not Applicable","Not Applicable","Agate, refined (Whieldon-type)",NA,NA,NA
"9","02-03-071","1307-02-03-071-DRS--00005",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"10","03-SF","1307-03-SF-NOS--00008",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"11","02-04-081","1307-02-04-081-DRS--00003",1,"Not Applicable","Blue and Gray","American Stoneware",NA,NA,NA
"12","02-03-074","1307-02-03-074-DRS--00079",1,"Not Applicable","Blue and Gray","American Stoneware",NA,NA,NA
"13","02-07-144","1307-02-07-144-DRS--00143",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"14","02-03-078","1307-02-03-078-DRS--00115",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"15","02-07-144","1307-02-07-144-DRS--00079",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"16","02-06-132","1307-02-06-132-DRS--00127",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"17","02-02-028","1307-02-02-028-DRS--00162",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"18","02-06-132","1307-02-06-132-DRS--00128",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"19","02-04-108","1307-02-04-108-DRS--00008",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"20","02-05-112a","1307-02-05-112a-DRS--00071",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"21","91-02-011","1307-91-02-011-DRS--00033",1,"Not Applicable","Blue and Gray","American Stoneware",NA,NA,NA
"22","02-03-159","1307-02-03-159-DRS--00008",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"23","02-07-146","1307-02-07-146-DRS--00082",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"24","02-03-159","1307-02-03-159-DRS--00007",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"25","91-03-020","1307-91-03-020-DRS--00086",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"26","02-03-084","1307-02-03-084-DRS--00125",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"27","91-03-017b","1307-91-03-017b-DRS--00002",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"28","02-07-146","1307-02-07-146-DRS--00079",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"29","02-07-146","1307-02-07-146-DRS--00080",1,"Not Applicable","Not Applicable","American Stoneware",NA,NA,NA
"30","02-07-142","1307-02-07-142-DRS--00001",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"31","02-05-112a","1307-02-05-112a-DRS--00032",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"32","02-07-169","1307-02-07-169-DRS--00019",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"33","02-04-085","1307-02-04-085-DRS--00121",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"34","03-Trench","1307-03-Trench-NOS--00016",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"35","02-04-085","1307-02-04-085-DRS--00219",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"36","02-06-149","1307-02-06-149-DRS--00031",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"37","02-04-085","1307-02-04-085-DRS--00220",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
"38","02-07-141","1307-02-07-141-DRS--00159",1,"Not Applicable","Not Applicable","Astbury Type",NA,NA,NA
