PARENT,OBJNAME,DAACSware,DAACScew,DAACSdec
"Ceramics, coarse earthenware, Am. 18thc.","""Mid-Atlantic"" ware","Coarse Earthenware, unidentified","PHAB (PHL, ALX, BLT)",Not Recorded
Need to Classify,"""Nottingham-like"" earthenware",Nottingham,Not Applicable,Not Recorded
"Ceramics, earthenware, British, 18th c.",Agate ware,"Agate, refined (Whieldon-type)",Not Applicable,Not Recorded
"Ceramics, stoneware, utilitarian, 19thc.",Albany-slipped,"Stoneware, unidentifiable",Not Applicable,Not Recorded
"Ceramics, stoneware, utilitarian, 19thc.",Alkaline glazed,American Stoneware,Not Applicable,Not Recorded
Pottery,"Altamaha, check stamped",Native American,Altamaha,Check Stamped
Pottery,"Altamaha, complicated stamped",Native American,Altamaha,Complicated Stamped
Pottery,"Altamaha, plain",Native American,Altamaha,Not Applicable
Pottery,"Altamaha, red filmed",Native American,Altamaha,Red Filmed
"Ceramics, stoneware, utilitarian, 19thc.",American blue and grey,American Stoneware,Not Applicable,Blue and Gray
"Ceramics, porcelain, 19th c.","American, blue and white",Porcellaneous/Hard Paste,Not Applicable,Handpainted Blue
"Ceramics, porcelain, 19th c.","American, gilt",Porcellaneous/Hard Paste,Not Applicable,Luster Decoration
"Ceramics, porcelain, 19th c.","American, other",Porcellaneous/Hard Paste,Not Applicable,Unidentified
"Ceramics, porcelain, 19th c.","American, undecorated",Porcellaneous/Hard Paste,Not Applicable,Not Applicable
Pottery,"Ashley, complicated stamped",Native American,Ashley,Complicated Stamped
Pottery,"Ashley, plain",Native American,Ashley,Not Recorded
Pottery,"Ashley, rectilinear complicated stamped",Native American,Ashley,Rectilinear Complicated Stamped
"Ceramics, earthenware, British, 18th c.",Astbury ware,Astbury Type,Not Applicable,Not Recorded
"Ceramics, stoneware, utilitarian, 18thc.",Bellarmine,Frechen Brown,Not Applicable,Not Recorded
"Ceramics, stoneware, tableware, 18th c.",Black basalt ware,Black Basalt,Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.","Border ware, Surrey-Hampshire",Surrey-Hampshire Border ware,Not Applicable,Not Recorded
"Ceramics, stoneware, tableware, 18th c.",British Brown,British Brown/Fulham Type,Not Applicable,Not Recorded
"Ceramics, stoneware, utilitarian, 18thc.","Brown saltglazed, British",British Brown/Fulham Type,Not Applicable,Not Recorded
"Ceramics, stoneware, utilitarian, 18thc.","Brown saltglazed, Germanic",Frechen Brown,Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.",Buckley ware,Buckley-type,Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.","Buffware, green glazed","Coarse Earthenware, unidentified",Not Applicable,Not Recorded
"Ceramics, burnt or undistinguishable",Burnt Earthenware,Unidentifiable,Not Applicable,Not Recorded
"Ceramics, burnt or undistinguishable",Burnt Stoneware,"Stoneware, unidentifiable",Not Applicable,Not Recorded
"Ceramics, porcelain, 19th c.","Canton, blue and white","Porcelain, Chinese",Not Applicable,Handpainted Blue
"Ceramics, porcelain, 19th c.","Canton, other","Porcelain, Chinese",Not Applicable,Unidentified
"Ceramics, glazed",Ceramic fragment,Unidentifiable,Not Applicable,Not Recorded
"Ceramics, glazed",Ceramic sherd,Unidentifiable,Not Applicable,Not Recorded
"Ceramics, earthenware, glazed",Ceramic sherds,Unidentifiable,Not Applicable,Not Recorded
Pottery,Check stamped,Native American,Not Applicable,Check Stamped
"Ceramics, porcelain, 18th c.","Chinese export, blue on white","Porcelain, Chinese",Not Applicable,Handpainted Blue
"Ceramics, porcelain, 18th c.","Chinese export, brown exterior","Porcelain, Chinese",Not Applicable,Batavian
"Ceramics, porcelain, 18th c.","Chinese export, imari","Porcelain, Chinese",Not Applicable,Imari
"Ceramics, porcelain, 18th c.","Chinese export, other","Porcelain, Chinese",Not Applicable,Unidentified
"Ceramics, porcelain, 18th c.","Chinese export, overglaze enameled","Porcelain, Chinese",Not Applicable,"Overglaze, Handpainted"
Paver,Clay paver,"Coarse Earthenware, unidentified",Not Applicable,Not Recorded
Pottery,Cob marked,Native American,Not Applicable,Cob Marked
"Ceramics, colono ware","Colono ware, undetermined",Colonoware,Not Applicable,Not Recorded
Need to Classify,"Colono ware, undetermined Colonoware",Colonoware,Not Applicable,Not Recorded
"Ceramics, colono ware","Colono ware, var. Lesesne",Colonoware,Lesesne,Not Recorded
"Ceramics, colono ware","Colono ware, var. River burnished, paint",Colonoware,River Burnished,Painted
"Ceramics, colono ware","Colono ware, var. River burnished, undec",Colonoware,River Burnished,Not Applicable
"Ceramics, colono ware","Colono ware, var. Yaughan",Colonoware,Yaughan,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.",Combed and trailed slipware,"Slipware, North Midlands/Staffordshire",Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.","Combed and trailed slipware, flat","Slipware, North Midlands/Staffordshire",Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.","Combed and trailed slipware, hollow","Slipware, North Midlands/Staffordshire",Not Applicable,Not Recorded
"Ceramics, coarse earthenware, Br. 18thc.","Combed and trailed slipware, light glaze","Slipware, North Midlands/Staffordshire",Not Applicable,Not Recorded
Pottery,"Complicated stamped, indeterminate",Native American,Not Applicable,Complicated Stamped
Pottery,"Complicated stamped, rectilinear",Native American,Not Applicable,Rectilinear Complicated Stamped
"Ceramics, refined earthenware, 19th c.","Creamware, annular banded",Creamware,Not Applicable,"Slipware, factory made"
"Ceramics, refined earthenware, 18th c.","Creamware, black transfer printed",Creamware,Not Applicable,Transfer Print Over
"Ceramics, refined earthenware, 18th c.","Creamware, enameled",Creamware,Not Applicable,"Overglaze, Handpainted"
"Ceramics, refined earthenware, 18th c.","Creamware, feather edged",Creamware,Not Applicable,Feather Edge
"Ceramics, refined earthenware, 19th c.","Creamware, light, undecorated",Creamware,Not Applicable,Not Applicable
"Ceramics, refined earthenware, 18th c.","Creamware, other",Creamware,Not Applicable,Unidentified
"Ceramics, refined earthenware, 18th c.","Creamware, other pattern",Creamware,Not Applicable,Unidentified
"Ceramics, refined earthenware, 18th c.","Creamware, royal pattern",Creamware,Not Applicable,Royal Pattern
"Ceramics, refined earthenware, 18th c.","Creamware, sprigged",Creamware,Not Applicable,Unidentified
"Ceramics, refined earthenware, 18th c.","Creamware, undecorated",Creamware,Not Applicable,Not Applicable
"Stoneware, glazed",Crock fragment,"Stoneware, unidentifiable",Not Applicable,Not Recorded
Fireplace tile,Delft tile,"Delftware, Dutch/British",Not Applicable,Not Recorded
Fireplace tile,"Delft tile, blue on white","Delftware, Dutch/British",Not Applicable,Handpainted Blue
Fireplace tile,"Delft tile, manganese","Delftware, Dutch/British",Not Applicable,"Applied Powder Crystals, purple"
Fireplace tile,"Delft tile, undecorated","Delftware, Dutch/British",Not Applicable,Not Applicable
