"unit","MCD","blueMCD","TPQ","TPQp95","TPQp90","Count"
" |  | 002",1742.5,1764.88341968912,1775,1775,1775,28
" |  | 003",1776,1789.54009952552,1762,1762,1762,6
" |  | 004",1780.70689655172,1793.53763554022,1775,1775,1775,29
" |  | 005",1791.56818181818,1798.2726211948,1775,1775,1775,22
" |  | 007",1795.14615829001,1796.79572270415,1840,1820,1775,3462
" |  | 007L",1760.33928571429,1775.25281483602,1830,1830,1830,140
" |  | 008",1783.5117370892,1792.20795777333,1840,1775,1775,213
" |  | 024",1799.10869565217,1795.38257780582,1820,1820,1820,23
" |  | 025",1773.22972972973,1794.66958209072,1820,1775,1775,185
" |  | 026",1733.58139534884,1734.7327943736,1740,1670,1670,215
" |  | 027",1729.91025641026,1734.79001998396,1820,1720,1670,39
" |  | 030",1717.375,1721.88226153014,1670,1670,1670,12
" |  | 031",1755.39130434783,1750.7814314069,1820,1820,1820,23
" |  | 034",1870.71052631579,1822.05380525797,1820,1820,1820,19
" |  | 035",1738.2,1750.04505909633,1720,1720,1720,5
" |  | 037",1729.50704225352,1742.04693480041,1762,1720,1720,71
" |  | 038",1734.66438356164,1742.42134736442,1720,1720,1720,73
" |  | 040",1741.68181818182,1747.01510991836,1720,1720,1720,11
" |  | 041",1720.66666666667,1720.92844607794,1660,1660,1660,6
" |  | 043",1727.88888888889,1727.47525852077,1670,1670,1670,9
" |  | 045",1776.73619371283,1791.60494100166,1820,1775,1775,1177
" |  | 045f",1769.86666666667,1789.09363045394,1775,1762,1762,15
" |  | 045I",1763.19503546099,1790.73115007602,1775,1775,1775,141
" |  | 045II",1780.91428571429,1795.11146706521,1775,1775,1775,70
" |  | 045u",1879.675,1824.11926114517,1840,1840,1840,20
" |  | 045w",1826.78372093023,1803.20333450396,1840,1840,1840,215
" |  | 045z",1772.27272727273,1786.05801536297,1775,1762,1762,44
" |  | 046",1756.99473684211,1785.38421870656,1775,1775,1775,95
" |  | 047",1722.78846153846,1736.87863572702,1775,1720,1720,156
" |  | 048",1731.24074074074,1739.84951048115,1720,1720,1720,27
" |  | 049",1729.6875,1742.55598064683,1725,1720,1720,24
" |  | 051",1738.44444444444,1745.94755285788,1720,1720,1720,9
" |  | 054",1845.6625,1820.700246453,1820,1820,1820,40
" |  | 055",1776.95454545455,1779.24974181008,1820,1820,1820,11
" |  | 056",1731.53773584906,1740.03258123727,1720,1720,1720,53
" |  | 057",1751.04347826087,1755.22150617714,1750,1720,1720,23
" |  | 060",1822.40104166667,1800.29256824366,1820,1820,1820,96
" |  | 062",1731.2,1731.29468750232,1680,1680,1680,10
" |  | 063",1720.5,1732.57623664565,1715,1715,1680,10
" |  | 065",1722.08552631579,1744.82275841258,1762,1762,1720,152
" |  | 065a",1707.04411764706,1712.74754557802,1680,1670,1670,34
" |  | 065b",1715.10869565217,1721.50077273458,1715,1680,1670,92
" |  | 065c",1701,1701,1600,1600,1600,2
" |  | 065d",1704.1875,1699.40428103016,1670,1660,1650,16
" |  | 065e",1710.58,1715.11065334502,1683,1680,1670,50
" |  | 065x",1721.85810810811,1737.32352717348,1740,1720,1680,74
" |  | 072",1724.225,1728.1470486744,1670,1670,1670,20
" |  | 073",1716.85714285714,1718.90689862327,1680,1680,1660,7
" |  | 075",1728.0625,1735.4191303078,1720,1720,1680,16
" |  | 077",1790.06132075472,1793.17958175689,1820,1820,1775,424
" |  | 080",1732.23333333333,1748.45179558019,1720,1720,1720,15
" |  | 081",1741.41666666667,1772.584276191,1775,1775,1720,6
" |  | 082",1734.44117647059,1744.77913884225,1720,1720,1720,17
" |  | 083",1717.07142857143,1727.48550542963,1775,1720,1720,35
" |  | 084",1784.75,1794.87459509413,1775,1775,1775,12
" |  | 085",1734.65217391304,1748.10133601039,1725,1725,1720,23
" |  | 086",1735.27083333333,1756.53746288442,1762,1762,1720,24
" |  | 087",1810.08333333333,1792.69783818642,1820,1820,1820,18
" |  | 089",1737.74193548387,1770.41514242259,1762,1762,1762,31
" |  | 090",1766,1777.74840432756,1820,1820,1820,22
" |  | 091",1742.08673469388,1748.09609790528,1820,1740,1720,98
" |  | 093",1729.40528634361,1739.30061840265,1762,1720,1720,227
" |  | 094",1731.38235294118,1740.86986856416,1725,1720,1720,34
" |  | 095",1714.02857142857,1726.40121958624,1720,1720,1680,35
" |  | 096",1795.07142857143,1797.03262935015,1820,1820,1820,14
" |  | 097",1716.27777777778,1728.16304019299,1720,1720,1670,18
" |  | 099",1720.66666666667,1729.33199381534,1720,1720,1720,21
" |  | 102",1724.6,1724.88234593865,1660,1660,1660,5
" |  | 105",1863.93103448276,1814.38847760015,1830,1820,1820,29
" |  | 106",1762.5,1762.5,1720,1720,1720,10
" |  | 107",1804.15151515152,1799.69246224472,1820,1820,1820,66
" |  | 109",1737.875,1750.75404273191,1762,1720,1720,12
" |  | 111",1719.6875,1721.9946007193,1670,1670,1660,8
" |  | 113",1723.17834394904,1733.16550132666,1820,1720,1683,157
" |  | 119",1725.5,1754.50756310851,1762,1762,1670,8
" |  | 121",1716.75,1723.77775611831,1670,1670,1670,4
