"Phase","MCD","blueMCD","TPQ","TPQp95","TPQp90","Count"
"",1798.7967711932,1795.99470410337,1840,1840,1820,7526
"P01",1729.55944233207,1741.32962292221,1840,1720,1720,23670
"P01b",1746.35275080906,1748.50264586414,1840,1820,1820,309
"P02",1749.55434782609,1771.23814741039,1840,1775,1762,1196
"P02b",1765.3904494382,1773.42919579269,1840,1820,1820,1246
"P03",1769.20126019274,1788.55661458494,1830,1775,1775,1349
"P03b",1801.10740740741,1790.50505569393,1840,1820,1820,810
"P04",1792.17964494654,1794.39387644646,1840,1820,1775,14871
"P04b",1843.91375598086,1808.3990381209,1840,1840,1840,4180
"P04c",1881.29403914591,1829.91929616233,1840,1840,1840,1124
"P05",1853.09203036053,1813.32799709743,1840,1820,1820,1054
