CONTEXT,ZSG
 |  | ,NA
 |  | 001,NA
 |  | 002,NA
 |  | 003,NA
 |  | 004,NA
 |  | 005,NA
 |  | 007,NA
 |  | 007L,NA
 |  | 008,NA
 |  | 009,NA
 |  | 019,NA
 |  | 021,NA
 |  | 024,NA
 |  | 025,NA
 |  | 026,NA
 |  | 027,NA
 |  | 028,NA
 |  | 030,NA
 |  | 031,NA
 |  | 032,NA
 |  | 033,NA
 |  | 034,NA
 |  | 035,NA
 |  | 036,NA
 |  | 037,NA
 |  | 037bf,NA
 |  | 038,NA
 |  | 040,NA
 |  | 041,NA
 |  | 043,NA
 |  | 045,NA
 |  | 045f,NA
 |  | 045I,NA
 |  | 045II,NA
 |  | 045u,NA
 |  | 045w,NA
 |  | 045z,NA
 |  | 046,NA
 |  | 047,NA
 |  | 048,NA
 |  | 049,NA
 |  | 050,NA
 |  | 051,NA
 |  | 054,NA
 |  | 055,NA
 |  | 056,NA
 |  | 057,NA
 |  | 059,NA
 |  | 060,NA
 |  | 061,NA
 |  | 062,NA
 |  | 063,NA
 |  | 065,NA
 |  | 065a,NA
 |  | 065b,NA
 |  | 065c,NA
 |  | 065d,NA
 |  | 065e,NA
 |  | 065x,NA
 |  | 069,NA
 |  | 071,NA
 |  | 072,NA
 |  | 073,NA
 |  | 074,NA
 |  | 075,NA
 |  | 077,NA
 |  | 078,NA
 |  | 079,NA
 |  | 080,NA
 |  | 081,NA
 |  | 082,NA
 |  | 083,NA
 |  | 084,NA
 |  | 085,NA
 |  | 086,NA
 |  | 087,NA
 |  | 088,NA
 |  | 089,NA
 |  | 090,NA
 |  | 091,NA
 |  | 092,NA
 |  | 093,NA
 |  | 094,NA
 |  | 095,NA
 |  | 096,NA
 |  | 097,NA
 |  | 098,NA
 |  | 099,NA
 |  | 102,NA
 |  | 103,NA
 |  | 104,NA
 |  | 105,NA
 |  | 106,NA
 |  | 107,NA
 |  | 108,NA
 |  | 109,NA
 |  | 111,NA
 |  | 112,NA
 |  | 113,NA
