Project Name,Project ID,Context,Quadrat ID,Deposit Type,Feature Type,Feature Number,Feature Group,Feature Group Interpretation,Stratigraphic Group,DAACS Phase,Artifact ID,Count,Coarse Earthenware Type,Decorative Genre,Ware
Heyward-Washington House,1307,02-01-050,1-Feb,Fill,,,,,,,1307-02-01-050-DRS--00012,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-07-153,7-Feb,,,,,,,,1307-02-07-153-DRS--00005,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-02-048,2-Feb,,,,,,,,1307-02-02-048-DRS--00040,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-06-152,6-Feb,,,,,,,,1307-02-06-152-DRS--00007,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-02-048,2-Feb,,,,,,,,1307-02-02-048-DRS--00041,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-04-113,4-Feb,,,,,,,,1307-02-04-113-DRS--00147,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-02-048,2-Feb,,,,,,,,1307-02-02-048-DRS--00144,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-01-031,1-Feb,Fill,,,,,,,1307-02-01-031-DRS--00001,1,Not Applicable,Not Applicable,"Agate, refined (Whieldon-type)"
Heyward-Washington House,1307,02-03-071,3-Feb,,,,,,,,1307-02-03-071-DRS--00005,1,Not Applicable,Not Applicable,American Stoneware
Heyward-Washington House,1307,03-SF,,Surface,,,,,,,1307-03-SF-NOS--00008,1,Not Applicable,Not Applicable,American Stoneware
Heyward-Washington House,1307,02-04-081,4-Feb,,,,,,,,1307-02-04-081-DRS--00003,1,Not Applicable,Blue and Gray,American Stoneware
Heyward-Washington House,1307,02-03-074,3-Feb,,,,,,,,1307-02-03-074-DRS--00079,1,Not Applicable,Blue and Gray,American Stoneware
Heyward-Washington House,1307,02-07-144,,,"Pit, trash",122,,,,,1307-02-07-144-DRS--00143,1,Not Applicable,Not Applicable,American Stoneware
