WARE,MATERIAL
"Porcelain, Chinese",ChinesePorcelain
Buckley-type,CoarseEarthenware
Caribbean Coarse Earthenware,CoarseEarthenware
"Caribbean Coarse Earthenware, hand built",CoarseEarthenware
"Caribbean Coarse Earthenware, unid.",CoarseEarthenware
"Coarse Earthenware, unidentified",CoarseEarthenware
Colonoware,Colonoware
French Coarse Earthenware,CoarseEarthenware
Iberian Ware,CoarseEarthenware
Native American,NativeAmerican
North Devon Gravel Tempered,CoarseEarthenware
North Devon Plain,CoarseEarthenware
Post-Medieval London-area Redware,CoarseEarthenware
"Red Agate, coarse",CoarseEarthenware
Redware,CoarseEarthenware
Saintonge,CoarseEarthenware
Spanish Coarse Earthenware,CoarseEarthenware
North Devon Slipware,CoarseEarthenwareTable
Slip-Coated,CoarseEarthenwareTable
"Slipware, North Midlands/Staffordshire",CoarseEarthenwareTable
Staffordshire Mottled Glaze,CoarseEarthenwareTable
Surrey-Hampshire Border ware,CoarseEarthenwareTable
"Porcelain, English Bone China",Porcelain
"Porcelain, English Soft Paste",Porcelain
"Porcelain, unidentified",Porcelain
Porcellaneous/Hard Paste,Porcelain
"Agate, refined (Whieldon-type)",RefinedEarthenware
Astbury Type,RefinedEarthenware
Bartlam,RefinedEarthenware
Bennington/Rockingham,RefinedEarthenware
Creamware,RefinedEarthenware
Frechen Brown,RefinedEarthenware
Ironstone/White Granite,RefinedEarthenware
Jackfield Type,RefinedEarthenware
Pearlware,RefinedEarthenware
"Red Agate, refined",RefinedEarthenware
"Redware, refined",RefinedEarthenware
"Refined Earthenware, modern",RefinedEarthenware
"Refined Earthenware, unidentifiable",RefinedEarthenware
Wedgwood Green,RefinedEarthenware
Whieldon-type Ware,RefinedEarthenware
Whiteware,RefinedEarthenware
Yellow Ware,RefinedEarthenware
Black Basalt,RefinedEarthenware
Hohr ware,RefinedStoneware
Nottingham,RefinedStoneware
Rosso Antico,RefinedStoneware
Slip Dip,RefinedStoneware
Westerwald/Rhenish,RefinedStoneware
White Salt Glaze,RefinedStoneware
British Brown/Fulham Type,Stoneware
British Stoneware,Stoneware
German Stoneware,Stoneware
"Stoneware, unidentifiable",Stoneware
"Delftware, Dutch/British",TinEnameled
Faience,TinEnameled
Majolica,TinEnameled
"Tin-Enameled, unidentified",TinEnameled
Unidentifiable,Unidentifiable
American Stoneware,Stoneware
Bristol Glaze Stoneware,Stoneware
