Unit,Level,Feature,8,7,6,5,4,Total Frag,Mean Bore,Binford Date,,,
HWN I,,,,,8,39,4,51,5.078431373,1737.549216,,,Total sum of artifacts
HWN IB,,,,,,7,1,8,4.875,1745.3325,,,12181
HWN II,3,,,2,,2,,4,6,1702.29,,,
HWN II,4,,,,1,5,1,7,5,1740.55,,,
HWN II,5,,,,1,1,,2,5.5,1721.42,,,
HWN II,1,,,,1,,,1,6,1702.29,,,
HWN II,6,,,,5,29,3,37,5.054054054,1738.481892,,,
HWN II,7,,,,1,,,1,6,1702.29,,,
HWN II,8,,,,4,26,,30,5.133333333,1735.448667,,,
HWN II,9,,,,,22,,22,5,1740.55,,,
HWN II,10,,,,,40,,40,5,1740.55,,,
HWK I,,,,,14,11,2,27,5.444444444,1723.545556,,,
HWK II,,,,,13,36,3,52,5.192307692,1733.192308,,,
HWK II,3,,,,2,7,4,13,4.846153846,1746.436154,,,
HWK III,,,,,14,7,,21,5.666666667,1715.043333,,,
HWK III,2,,,,14,50,4,68,5.147058824,1734.923529,,,
HWK III,3,,,,3,9,,12,5.25,1730.985,,,
HWK IV,,,,,6,26,1,33,5.151515152,1734.75303,,,
HWK IV,2,,,,10,55,1,66,5.136363636,1735.332727,,,
HWK V,,,,,12,14,2,28,5.357142857,1726.885714,,,
HWK V,2,,,1,20,105,1,127,5.165354331,1734.223543,,,
HWK V,3,,,,1,7,,8,5.125,1735.7675,,,
HWK VI,,,,,16,20,2,38,5.368421053,1726.454211,,,
HWK VI,2,,,,11,32,1,44,5.227272727,1731.854545,,,
HWK VII,1,,,,4,2,1,7,5.428571429,1724.152857,,,
HWK VII,2,,,,23,46,,69,5.333333333,1727.796667,,,
HWK VIII,2,,,,19,40,1,60,5.3,1729.072,,,
HWK VII,3,,,,5,27,,32,5.15625,1734.571875,,,
HWK IX,1,,,,,3,,3,5,1740.55,,,
HWK IX,2,,,,11,12,3,26,5.307692308,1728.777692,,,
HWK IX,3,,,,,9,1,10,4.9,1744.376,,,
HWK X,,,,,3,3,,6,5.5,1721.42,,,
HWK X,2,,,,1,17,,18,5.055555556,1738.424444,,,
HWK X,3,,,,2,20,,22,5.090909091,1737.071818,,,
HWK XI,1,,,,1,4,,5,5.2,1732.898,,,
HWK XI,1,,,,1,4,,5,5.2,1732.898,,,
HWK XI,2,,,,,3,,3,5,1740.55,,,
HWK XI,3,,,,,1,,1,5,1740.55,,,
HWK XII,1,,,,1,,,1,6,1702.29,,,
HWK XII,2,,,,4,16,,20,5.2,1732.898,,,
HWK XII,3,,,,3,31,1,35,5.057142857,1738.363714,,,
HWK XIII,1,,,,,3,,3,5,1740.55,,,
HWK XIII,2,,,,8,17,4,29,5.137931034,1735.272759,,,
HWK XIII,3,,,,,1,,1,5,1740.55,,,
HWK XIV,2,,,,3,6,1,10,5.2,1732.898,,,
HWK XIV,3,,,,1,12,2,15,4.933333333,1743.100667,,,
HWK XV,2,,,,4,20,2,26,5.076923077,1737.606923,,,
HWK XV,3,,,,1,20,2,23,4.956521739,1742.213478,,,
HWK XVI,1,,,,1,,,1,6,1702.29,,,
HWK XVI,2,,,,,3,,3,5,1740.55,,,
HWK XVI,3,,,,,3,1,4,4.75,1750.115,,,
HWK XVII,1,,,,1,2,,3,5.333333333,1727.796667,,,
HWK XVII,2,,,,4,2,1,7,5.428571429,1724.152857,,,
HWK XVII,3,,,,,3,1,4,4.75,1750.115,,,
HWK XVIII,2,,,,,4,,4,5,1740.55,,,
HWK XVIII,2,,,,,4,,4,5,1740.55,,,
HWK XVIII,3,,,,2,12,1,15,5.066666667,1737.999333,,,
HWK XIX,1,,,,2,1,,3,5.666666667,1715.043333,,,
HWK XIX,2,,,,1,6,,7,5.142857143,1735.084286,,,
HWK XIX,3,,,,,8,1,9,4.888888889,1744.801111,,,
HWK XX,2,,,1,2,18,,21,5.19047619,1733.262381,,,
HWK XX,3,,,,6,8,1,15,5.333333333,1727.796667,,,
HWK XXI,2,,,,,1,,1,5,1740.55,,,
HWK XXI,3,,,,3,6,,9,5.333333333,1727.796667,,,
HWK XXII,1,,,,3,5,2,10,5.1,1736.724,,,
HWK,,3,,1,6,8,,15,5.533333333,1720.144667,,,
HWK,,4,,,1,9,1,11,5,1740.55,,,
HWK,,5,,,,1,,1,5,1740.55,,,
HWK,,7,,2,34,381,19,436,5.043577982,1738.882706,,,
HWK,,7L,,5,21,42,2,70,5.414285714,1724.699429,,,
HWK,,8,,,,14,,14,5,1740.55,,,
A,2,,,,,5,,5,5,1740.55,,,
A,31,,,1,6,7,,14,5.571428571,1718.687143,,,
A,4,,,,5,14,5,24,5,1740.55,,,
A,5,,,,8,14,1,23,5.304347826,1728.905652,,,
A,6,,,,3,15,1,19,5.105263158,1736.522632,,,
A,7,,,3,6,5,,14,5.857142857,1707.755714,,,
A,8,,1,,7,4,,12,5.833333333,1708.666667,,,
A1,1,,,,,1,,1,5,1740.55,,,
A1,3a,,,1,6,10,,17,5.470588235,1722.545294,,,
A1,4,,,1,2,8,2,13,5.153846154,1734.663846,,,
A1,5,,,,3,10,4,17,4.941176471,1742.800588,,,
A1,6,,,1,7,10,2,20,5.35,1727.159,,,
A1,7,,,1,12,9,,22,5.636363636,1716.202727,,,
A1,8,,,4,3,4,,11,6,1702.29,,,
A2,1,,,,1,,1,2,5,1740.55,,,
A2,2,,,,1,2,,3,5.333333333,1727.796667,,,
A2,3a,,,2,14,15,1,32,5.53125,1720.224375,,,
A2,3b,,,2,10,10,1,23,5.565217391,1718.924783,,,
A2,4,,,2,13,51,12,78,5.064102564,1738.097436,,,
A2,5,,,,9,18,2,29,5.24137931,1731.314828,,,
A2,6,,,1,12,15,,28,5.5,1721.42,,,
A2,7,,1,2,24,13,,40,5.775,1710.8985,,,
A2,9,,,5,1,1,,7,6.571428571,1680.427143,,,
A3,1,,,,2,1,,3,5.666666667,1715.043333,,,
A3,2,,,1,,3,,4,5.5,1721.42,,,
A3,3a,,,3,8,10,4,25,5.4,1725.246,,,
A3,3b,,,1,4,19,7,31,4.967741935,1741.784194,,,
A3,4,,,1,5,51,48,105,4.60952381,1755.489619,,,
A3,5,,,1,2,31,8,42,4.904761905,1744.19381,,,
A3,6,,,,,4,1,5,4.8,1748.202,,,
A3,7,,,2,23,15,4,44,5.522727273,1720.550455,,,
A3,8,,,2,17,9,2,30,5.633333333,1716.318667,,,
A3,9,,,3,5,,,8,6.375,1687.9425,,,
A4,1,,,,1,,,1,6,1702.29,,,
A4,2,,,,2,4,1,7,5.142857143,1735.084286,,,
A4,3a,,,,11,4,,15,5.733333333,1712.492667,,,
A4,3b,,,2,12,10,5,29,5.379310345,1726.037586,,,
A4,4,,,,4,17,5,26,4.961538462,1742.021538,,,
A4,5,,,,,19,2,21,4.904761905,1744.19381,,,
A4,6,,,,10,12,,22,5.454545455,1723.159091,,,
A4,7,,,2,10,7,,19,5.736842105,1712.358421,,,
A4,8,,,1,4,1,,6,6,1702.29,,,
A5,1,,,,2,,,2,6,1702.29,,,
A5,2,,,1,6,5,1,13,5.538461538,1719.948462,,,
