"CONTEXT","OBJECTID","COUNT","CEW","DEC","WARE","UNIT","LEVEL","FEATURE","COMPONENT","BLOCK","UNPROV","Phase"
" |  | ","ARL 50453.2",1,"Stobo","Not Recorded","Colonoware",NA,NA,NA,NA,NA,"yUNPROV",""
" |  | ","ARL 50453.1",2,"Stobo","Not Recorded","Colonoware",NA,NA,NA,NA,NA,"yUNPROV",""
" |  | 001","ARL 7780.2",1,"Not Applicable","Slipware, factory made","Pearlware",NA,NA,"F001","KITCHEN",NA,NA,""
" |  | 002","ARL 7814.1",23,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F002","KITCHEN",NA,NA,"P01"
" |  | 002","ARL 7781.6",1,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F002","KITCHEN",NA,NA,"P01"
" |  | 002","ARL 20680.1",4,"Not Applicable","Not Applicable","Pearlware",NA,NA,"F002","KITCHEN",NA,NA,"P01"
" |  | 003","ARL 9993.1",1,"Not Applicable","Not Applicable","Delftware, Dutch/British",NA,NA,"F003","KITCHEN",NA,NA,"P04"
" |  | 003","ARL 20679.1",5,"Not Applicable","Not Applicable","Creamware",NA,NA,"F003","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 7818.2",1,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 7492.4",1,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 20666.1",1,"Olive Jar","Not Recorded","Spanish Coarse Earthenware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 9993.2",1,"Not Applicable","Not Applicable","Delftware, Dutch/British",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 20912.1",2,"Not Applicable","Not Applicable","Delftware, Dutch/British",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 22272.2",2,"Not Applicable","Overglaze, Handpainted","Porcelain, Chinese",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 21377.1",1,"Not Applicable","Feather Edge","Creamware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 20914.1",8,"Not Applicable","Not Applicable","Creamware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 20913.1",4,"Not Applicable","Not Applicable","Creamware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 21370.4",1,"Not Applicable","Not Applicable","Creamware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 22376.1",1,"Not Applicable","Not Applicable","Creamware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 7811.5",2,"Not Applicable","Slipware, factory made","Pearlware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 22203.2",4,"Not Applicable","Transfer Print Under, blue","Pearlware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 9266.1",1,"Not Applicable","Shell Edge","Pearlware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 004","ARL 7777.7",1,"Not Applicable","Transfer Print Under, unidentified","Pearlware",NA,NA,"F004","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 7785.7",1,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 50588.1",1,"Lesesne","Not Recorded","Colonoware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 7714.1",1,"Not Applicable","Handpainted Blue","Delftware, Dutch/British",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 21377.2",1,"Not Applicable","Feather Edge","Creamware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 9257.1",1,"Not Applicable","Unidentified","Creamware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 22376.2",4,"Not Applicable","Not Applicable","Creamware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 21779.2",1,"Not Applicable","Transfer Print Under, blue","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 21852.3",1,"Not Applicable","Transfer Print Under, blue","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 21775.2",2,"Not Applicable","Transfer Print Under, blue","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 22203.3",4,"Not Applicable","Transfer Print Under, blue","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 9257.2",3,"Not Applicable","Shell Edge","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 7465.1",1,"Not Applicable","Transfer Print Under, unidentified","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 005","ARL 7776.3",2,"Not Applicable","Transfer Print Under, unidentified","Pearlware",NA,NA,"F005","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7490.1",2,"PHAB (PHL, ALX, BLT)","Not Recorded","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7827.13",3,"PHAB (PHL, ALX, BLT)","Not Recorded","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 10016.1",6,"Not Applicable","Not Recorded","Buckley-type",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7816.5",3,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7815.3",5,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21980.1",37,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21408.1",2,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7792.9",2,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7794.1",29,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 23062.2b",22,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7785.1",16,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7818.1",11,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7817.1",10,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7791.1",2,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7793.1",8,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7853.10",4,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 20290.1",1,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 20299.1",2,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7854.3",4,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 22305.1",3,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7493.1",7,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7846.3",4,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21967.1",1,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7492.1",20,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21410.1",1,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21971.1",2,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7847.1",4,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 22310.1",3,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7489.1",6,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 20289.1",2,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 22306.3",1,"Not Applicable","Not Applicable","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7870.1",1,"Not Applicable","Not Recorded","Slipware, North Midlands/Staffordshire",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 22302.2",1,"Not Applicable","Not Recorded","Coarse Earthenware, unidentified",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50821",1,"Not Applicable","Not Applicable","Spanish Coarse Earthenware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.3",1,"Lesesne","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.1",21,"Lesesne","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 59589.2",5,"Lesesne","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50780",1,"Lesesne","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.5",2,"River Burnished","Not Applicable","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50625.1",1,"River Burnished","Not Applicable","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.6",3,"Yaughan","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.8",3,"Stobo","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 50589.7",24,"Stobo","Not Recorded","Colonoware",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 21975.1",2,"Not Applicable","Not Recorded","Astbury Type",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7773.1",8,"Not Applicable","Not Recorded","Astbury Type",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7710.2",1,"Not Applicable","Handpainted Blue","Delftware, Dutch/British",NA,NA,"F007","KITCHEN",NA,NA,"P04"
" |  | 007","ARL 7711.1",1,"Not Applicable","Handpainted Blue","Delftware, Dutch/British",NA,NA,"F007","KITCHEN",NA,NA,"P04"
