Context,Sherd Count,Refined Agate,American Stoneware,Astbury,Rockingham,Black Basalt,Caribbean CEW,Buckley,Brown Stoneware,Unid CEW,Colonoware,Creamware,Delft,French CEW,Hohrware,Jackfield,Majolica,Native American,North Devon,North Devon Sgraffitto,Nottingham,Pearlware,Chinese Porcelain,Porcellaneous/Unid. Porcelain,London CEW,Rosso Antico,Saintonge,Slip Dip,Slip Coated,Staffordshire Slipware,Unid. Stoneware,Unidentified,Westerwald,Whieldonware,White Salt Glazed,Whiteware,Yellow Ware,Manganese Mottled,Spanish CEW
F065,617,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.32%,0.32%,0.81%,25.45%,1.46%,32.58%,0.00%,0.16%,0.00%,0.49%,2.43%,1.46%,0.49%,0.49%,0.00%,3.08%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,16.69%,2.27%,0.00%,7.13%,0.32%,1.46%,0.00%,0.00%,2.11%,0.16%
F166,2063,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.21%,0.82%,5.19%,1.75%,0.00%,29.37%,0.15%,0.05%,0.00%,0.10%,0.10%,2.91%,0.29%,0.34%,0.00%,3.73%,0.00%,0.68%,0.00%,0.92%,2.47%,2.96%,25.64%,2.47%,0.00%,4.46%,0.00%,5.53%,0.00%,0.00%,8.82%,0.05%
L08,834,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.12%,0.72%,2.28%,14.03%,0.00%,28.90%,0.24%,0.24%,0.00%,0.12%,11.15%,3.96%,0.36%,0.60%,0.12%,2.04%,0.12%,0.00%,0.12%,0.00%,0.36%,0.24%,22.06%,1.32%,0.00%,4.68%,0.00%,1.08%,0.00%,0.00%,4.92%,0.00%
L07,3256,0.00%,0.00%,0.09%,0.00%,0.00%,0.03%,0.25%,1.17%,3.65%,8.60%,0.00%,29.85%,0.58%,0.09%,0.03%,0.00%,0.61%,3.04%,0.25%,0.71%,0.06%,5.16%,0.03%,0.37%,0.06%,0.37%,1.01%,1.23%,24.08%,2.76%,0.00%,5.07%,0.06%,5.01%,0.06%,0.00%,5.62%,0.09%
L06,1993,0.15%,0.00%,1.15%,0.00%,0.00%,0.00%,0.55%,1.20%,3.61%,6.42%,0.10%,22.28%,0.20%,0.05%,0.00%,0.00%,0.20%,1.76%,0.20%,1.15%,0.00%,11.99%,0.30%,0.10%,0.00%,0.20%,2.06%,0.55%,26.19%,2.41%,0.05%,6.17%,0.00%,6.42%,0.60%,0.00%,3.81%,0.10%
L05,3593,0.58%,0.03%,0.70%,0.00%,0.00%,0.00%,0.17%,0.31%,3.09%,6.48%,0.11%,16.70%,1.56%,0.03%,0.22%,0.00%,0.83%,0.78%,0.06%,0.56%,0.08%,12.50%,0.25%,0.03%,0.14%,0.14%,1.14%,0.31%,25.83%,2.31%,0.14%,9.80%,0.50%,12.08%,0.28%,0.00%,2.12%,0.17%
L04,4165,0.12%,0.00%,0.60%,0.00%,0.00%,0.00%,0.10%,0.29%,5.98%,3.00%,0.36%,16.69%,0.96%,0.02%,0.31%,0.31%,0.24%,0.72%,0.10%,1.99%,0.29%,12.48%,0.43%,0.00%,0.34%,0.22%,0.36%,0.14%,25.02%,2.14%,0.07%,7.25%,0.84%,16.33%,0.10%,0.00%,1.49%,0.72%
F026,470,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,4.47%,4.47%,0.43%,28.51%,0.21%,0.21%,0.43%,0.00%,0.21%,0.21%,0.21%,2.13%,0.00%,17.45%,0.00%,0.00%,0.00%,0.43%,0.43%,0.21%,2.77%,1.06%,0.00%,6.81%,1.28%,25.74%,0.00%,0.00%,1.06%,0.85%
L03B,1618,0.19%,0.06%,0.87%,0.00%,0.00%,0.00%,0.12%,0.68%,5.50%,2.84%,2.04%,18.73%,0.99%,0.06%,0.31%,0.00%,0.37%,2.16%,0.19%,0.80%,1.67%,12.98%,0.80%,0.06%,0.06%,0.06%,1.05%,0.00%,22.62%,1.61%,0.12%,7.05%,0.74%,12.48%,0.68%,0.06%,1.55%,0.49%
L03A,2097,0.00%,0.00%,0.62%,0.05%,0.05%,0.00%,0.05%,0.67%,2.67%,2.81%,7.20%,17.45%,0.67%,0.10%,0.05%,0.05%,0.05%,0.43%,0.19%,1.14%,9.49%,9.39%,1.24%,0.00%,0.19%,0.05%,1.48%,0.00%,18.79%,2.34%,0.33%,6.72%,1.10%,7.87%,4.48%,0.00%,1.96%,0.33%
L03,895,0.11%,0.00%,0.11%,0.00%,0.00%,0.00%,0.45%,0.56%,5.59%,5.59%,3.46%,14.97%,1.68%,0.00%,0.22%,0.00%,0.22%,0.78%,0.22%,1.68%,3.58%,8.16%,0.78%,0.00%,0.11%,0.00%,0.34%,0.34%,25.81%,3.13%,0.00%,9.05%,0.78%,8.60%,1.23%,0.00%,2.23%,0.22%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
